Ref,Val,Package,PosX,PosY,Rot,Side
"C5","3.3nF","C_0603_1608Metric",121.273000,-114.732000,180.000000,bottom
"C6","100nF","C_0603_1608Metric",118.900000,-112.350000,-90.000000,bottom
"C18","100nF","C_0603_1608Metric",125.100001,-122.525799,0.000000,bottom
"C19","10uF","C_0805_2012Metric",125.100001,-124.425799,0.000000,bottom
"C20","100 nF","C_0603_1608Metric",141.999999,-117.475000,90.000000,bottom
"C21","100 nF","C_0603_1608Metric",143.999999,-117.475000,90.000000,bottom
"C22","100 nF","C_0603_1608Metric",145.999999,-117.475000,90.000000,bottom
"C23","100 nF","C_0603_1608Metric",151.400000,-122.000000,0.000000,bottom
"C24","100 nF","C_0603_1608Metric",151.400000,-124.800000,0.000000,bottom
"C25","100 nF","C_0603_1608Metric",151.600000,-127.850000,0.000000,bottom
"C26","15p","C_0603_1608Metric",156.600001,-120.200000,0.000000,bottom
"C27","15p","C_0603_1608Metric",156.600000,-126.900000,0.000000,bottom
"C28","100 nF","C_0603_1608Metric",147.100000,-130.700000,90.000000,bottom
"C29","100 nF","C_0603_1608Metric",143.900000,-129.900000,90.000000,bottom
"C30","100 nF","C_0603_1608Metric",139.100000,-123.700000,0.000000,bottom
"C31","4.7u","C_0603_1608Metric",145.500000,-130.700000,-90.000000,bottom
"C32","100 nF","C_0603_1608Metric",141.800000,-129.900000,90.000000,bottom
"C33","4.7u","C_0603_1608Metric",139.025000,-128.750000,180.000000,bottom
"C34","4.7u","C_0603_1608Metric",138.299999,-126.100000,90.000000,bottom
"C35","4.7u","C_0603_1608Metric",139.899999,-126.100000,90.000000,bottom
"C40","3.3nF","C_0603_1608Metric",123.700000,-79.107201,-90.000000,bottom
"C41","100nF","C_0603_1608Metric",118.900000,-79.107201,-90.000000,bottom
"C54","100nF","C_0603_1608Metric",125.000000,-89.600000,0.000000,bottom
"C55","10uF","C_0805_2012Metric",125.000000,-91.500000,0.000000,bottom
"C57","100nF","C_0603_1608Metric",117.350000,-82.550000,180.000000,bottom
"C58","100nF","C_0603_1608Metric",114.950000,-81.600000,90.000000,bottom
"C59","100nF","C_0603_1608Metric",120.400000,-84.625000,90.000000,bottom
"C60","100pF","C_0603_1608Metric",181.400000,-84.150000,-90.000000,bottom
"C61","10pF","C_0603_1608Metric",178.200000,-89.175000,-90.000000,bottom
"C62","0.22uF","C_0603_1608Metric",171.800000,-84.150000,90.000000,bottom
"C63","4.7nF","C_0603_1608Metric",175.000000,-89.175000,-90.000000,bottom
"C64","22pF","C_0603_1608Metric",181.400000,-79.650000,90.000000,bottom
"C65","100pF","C_0603_1608Metric",176.600000,-79.650000,-90.000000,bottom
"C66","22nF","C_0805_2012Metric",174.800000,-79.650000,90.000000,bottom
"C67","100nF","C_0603_1608Metric",170.650000,-79.650000,90.000000,bottom
"C78","100pF","C_0603_1608Metric",181.400000,-126.600000,90.000000,bottom
"C79","10pF","C_0603_1608Metric",178.250000,-131.600000,-90.000000,bottom
"C80","0.22uF","C_0603_1608Metric",171.800000,-126.600000,90.000000,bottom
"C81","4.7nF","C_0603_1608Metric",175.050000,-131.600000,-90.000000,bottom
"C82","22pF","C_0603_1608Metric",181.400000,-122.100000,90.000000,bottom
"C83","100pF","C_0603_1608Metric",176.600000,-122.100000,-90.000000,bottom
"C84","22nF","C_0805_2012Metric",174.800000,-122.100000,90.000000,bottom
"C85","100nF","C_0603_1608Metric",170.437500,-122.100000,90.000000,bottom
"C87","0.1uF","C_0603_1608Metric",93.683712,-91.075000,90.000000,bottom
"C89","0.1uF","C_0603_1608Metric",93.700000,-105.499111,90.000000,bottom
"C90","CL10C220JB8NNNC","C0603",114.200000,-87.350000,90.000000,bottom
"C91","~","C0603",114.150000,-84.550000,-90.000000,bottom
"D1","BAS716","D_SOD-523",118.300000,-124.900000,-90.000000,bottom
"D2","BAS716","D_SOD-523",118.200000,-93.000000,-90.000000,bottom
"J10","Conn_01x04_Pin","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",187.300000,-123.900000,-90.000000,bottom
"J13","Conn_01x04_Pin","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",187.300000,-83.900000,-90.000000,bottom
"L2","3.3u","L_0805_2012Metric",136.599999,-126.000000,90.000000,bottom
"Q3","2N7002","SOT-23",182.625000,-89.175000,0.000000,bottom
"Q4","2N7002","SOT-23",182.687500,-131.600000,0.000000,bottom
"R1","33.6k","R_0603_1608Metric",122.100000,-112.350000,90.000000,bottom
"R2","60.4k","R_0603_1608Metric",120.500000,-112.350000,90.000000,bottom
"R3","100k","R_0603_1608Metric",117.300000,-112.350000,-90.000000,bottom
"R5","274k","R_0603_1608Metric",122.100001,-117.825799,90.000000,bottom
"R6","15k","R_0603_1608Metric",128.100001,-117.925799,90.000000,bottom
"R9","10k","R_0603_1608Metric",150.300000,-115.675000,-90.000000,bottom
"R10","10k","R_0603_1608Metric",151.900000,-115.675000,-90.000000,bottom
"R11","1k","R_0603_1608Metric",135.750000,-128.700000,0.000000,bottom
"R12","10k","R_0603_1608Metric",135.750000,-130.500000,0.000000,bottom
"R13","1k","R_0603_1608Metric",154.000000,-125.800000,-90.000000,bottom
"R14","1k","R_0603_1608Metric",140.399999,-117.475000,-90.000000,bottom
"R17","33","R_0603_1608Metric",139.000000,-130.500000,0.000000,bottom
"R18","33.6k","R_0603_1608Metric",122.035000,-77.394000,-90.000000,bottom
"R19","60.4k","R_0603_1608Metric",120.500000,-79.107201,90.000000,bottom
"R20","100k","R_0603_1608Metric",117.300000,-79.107201,-90.000000,bottom
"R22","274k","R_0603_1608Metric",122.000000,-84.600000,90.000000,bottom
"R23","15k","R_0603_1608Metric",128.000000,-84.700000,90.000000,bottom
"R24","10k","R_0603_1608Metric",150.875000,-118.300000,180.000000,bottom
"R25","10k","R_0603_1608Metric",150.900000,-119.850000,180.000000,bottom
"R26","1Meg","R_0603_1608Metric",183.000000,-84.150000,-90.000000,bottom
"R27","36k","R_0603_1608Metric",179.775001,-84.150000,-90.000000,bottom
"R28","1Meg","R_0603_1608Metric",176.600000,-89.175000,-90.000000,bottom
"R29","67.3k","R_0603_1608Metric",179.800000,-89.175000,-90.000000,bottom
"R30","150","R_0603_1608Metric",173.700000,-84.150000,90.000000,bottom
"R31","240k","R_0603_1608Metric",173.000000,-79.650000,90.000000,bottom
"R32","33k","R_0603_1608Metric",154.700000,-117.800000,-90.000000,bottom
"R33","33k","R_0603_1608Metric",173.000000,-118.875000,-90.000000,bottom
"R34","1.26k","R_0603_1608Metric",179.800000,-79.650000,-90.000000,bottom
"R35","464","R_0603_1608Metric",183.000000,-79.650000,90.000000,bottom
"R36","1k","R_0603_1608Metric",178.200000,-79.650000,-90.000000,bottom
"R39","10k","R_0603_1608Metric",149.950000,-129.400000,180.000000,bottom
"R42","100","R_0603_1608Metric",169.050000,-79.650000,90.000000,bottom
"R48","1Meg","R_0603_1608Metric",183.000000,-126.600000,-90.000000,bottom
"R49","36k","R_0603_1608Metric",179.775001,-126.600000,90.000000,bottom
"R50","1Meg","R_0603_1608Metric",176.650000,-131.600000,-90.000000,bottom
"R51","67.3k","R_0603_1608Metric",179.850000,-131.600000,-90.000000,bottom
"R52","150","R_0603_1608Metric",173.700000,-126.600000,90.000000,bottom
"R53","240k","R_0603_1608Metric",173.000000,-122.100000,90.000000,bottom
"R54","33k","R_0603_1608Metric",166.600000,-129.100000,90.000000,bottom
"R55","33k","R_0603_1608Metric",165.050000,-129.100000,90.000000,bottom
"R56","1.26k","R_0603_1608Metric",179.800000,-122.100000,-90.000000,bottom
"R57","464","R_0603_1608Metric",183.000000,-122.100000,90.000000,bottom
"R58","1k","R_0603_1608Metric",178.200000,-122.100000,-90.000000,bottom
"R64","100","R_0603_1608Metric",168.837500,-122.100000,90.000000,bottom
"R67","402k","R_0603_1608Metric",98.483711,-91.075000,90.000000,bottom
"R68","33k","R_0603_1608Metric",137.300000,-119.700000,-90.000000,bottom
"R69","12k","R_0603_1608Metric",96.883711,-91.075000,90.000000,bottom
"R70","12k","R_0603_1608Metric",95.283712,-91.075000,90.000000,bottom
"R71","402k","R_0603_1608Metric",98.500000,-105.499111,90.000000,bottom
"R72","33k","R_0603_1608Metric",138.000000,-117.300000,0.000000,bottom
"R73","12k","R_0603_1608Metric",96.900000,-105.500000,90.000000,bottom
"R74","12k","R_0603_1608Metric",95.300000,-105.499111,90.000000,bottom
"U2","AD5259BRMZ100","RM_10_ADI-M",125.100001,-117.825799,-90.000000,bottom
"U3","RP2350A","QFN-60_7X7_RPI",144.828999,-124.099999,-90.000000,bottom
"U4","W25Q128JVS","SOIC-8_5.3x5.3mm_P1.27mm",133.500000,-118.700000,-90.000000,bottom
"U7","AD5259BRMZ100","RM_10_ADI-M",125.000000,-84.600000,-90.000000,bottom
"U9","BNO055","LGA-28_5.2x3.8mm_P0.5mm",117.250000,-86.350000,-90.000000,bottom
"U11","LM5050-1","TSOT-23-6",166.450000,-79.650000,90.000000,bottom
"U15","LM5050-1","TSOT-23-6",166.237500,-122.100000,90.000000,bottom
"X1","ABM8-272-T3","ABM8-272-T3_ABR",156.600000,-123.500000,180.000000,bottom
"X2","ABS07-32.768KHZ-T","OSC-SMD_2P-L3.2-W1.5",111.850000,-86.600000,-90.000000,bottom
"C1","10uF","C_0805_2012Metric",105.100000,-126.500000,-90.000000,top
"C2","220pF","C_0603_1608Metric",103.300000,-129.750000,90.000000,top
"C3","100nF","C_0603_1608Metric",103.300000,-126.700000,-90.000000,top
"C4","10uF","C_0805_2012Metric",105.100000,-129.950000,90.000000,top
"C7","2.2uF","C_0603_1608Metric",120.300000,-108.900000,180.000000,top
"C8","100nF","C_0603_1608Metric",116.400000,-113.100000,-90.000000,top
"C9","33uF","CP_Elec_6.3x5.8",105.100000,-120.000000,90.000000,top
"C10","10uF","C_0805_2012Metric",114.500000,-112.900000,-90.000000,top
"C11","100nF","C_0603_1608Metric",123.050000,-118.157200,180.000000,top
"C12","100nF","C_0603_1608Metric",126.450000,-113.257200,90.000000,top
"C13","100nF","C_0603_1608Metric",126.450000,-116.257200,-90.000000,top
"C14","10uF","C_0805_2012Metric",128.250000,-113.057200,-90.000000,top
"C15","10uF","C_0805_2012Metric",128.250000,-116.457200,90.000000,top
"C36","10uF","C_0805_2012Metric",105.000000,-83.850000,90.000000,top
"C37","220pF","C_0603_1608Metric",103.100000,-80.500000,-90.000000,top
"C38","100nF","C_0603_1608Metric",103.100000,-83.600000,90.000000,top
"C39","10uF","C_0805_2012Metric",105.000000,-80.300000,-90.000000,top
"C42","2.2uF","C_0603_1608Metric",119.400000,-79.907201,-90.000000,top
"C43","100nF","C_0603_1608Metric",117.800000,-81.400000,-90.000000,top
"C44","33uF","CP_Elec_6.3x5.8",108.400000,-90.500000,-90.000000,top
"C45","10uF","C_0805_2012Metric",115.900000,-81.200000,-90.000000,top
"C46","100nF","C_0603_1608Metric",123.000000,-84.907201,180.000000,top
"C47","100nF","C_0603_1608Metric",126.400000,-80.007201,90.000000,top
"C48","100nF","C_0603_1608Metric",126.400000,-83.007201,-90.000000,top
"C49","10uF","C_0805_2012Metric",128.200000,-79.807201,-90.000000,top
"C50","10uF","C_0805_2012Metric",128.200000,-83.207201,90.000000,top
"C53","100nF","C_0603_1608Metric",98.800000,-124.325000,-90.000000,top
"C56","100nF","C_0603_1608Metric",98.700000,-78.200000,-90.000000,top
"C69","1uF","C_0603_1608Metric",147.063500,-121.000000,0.000000,top
"C70","10uf","C_1210_3225Metric",149.700000,-81.500000,90.000000,top
"C71","10uf","C_1210_3225Metric",135.000000,-81.500000,90.000000,top
"C72","1uF","C_0603_1608Metric",146.000000,-82.300000,90.000000,top
"C73","1uF","C_0603_1608Metric",150.146342,-118.395342,-90.000000,top
"C74","10nF","C_0603_1608Metric",141.600000,-77.900000,180.000000,top
"C75","1uF","C_0603_1608Metric",138.800000,-82.300000,90.000000,top
"C76","4.7pF","C_0603_1608Metric",138.300000,-86.400000,180.000000,top
"C77","47uF","C_1210_3225Metric",137.700000,-91.700000,180.000000,top
"C86","1uF","C_0603_1608Metric",101.000000,-95.100000,-90.000000,top
"C88","1uF","C_0603_1608Metric",100.925000,-109.599111,-90.000000,top
"D3","TPSMB28CA-VR","D_SMB",183.000000,-79.650000,-90.000000,top
"D4","TPSMB28CA-VR","D_SMB",169.050000,-79.650000,-90.000000,top
"D5","B5819W","D_SOD-123",183.000000,-85.300000,180.000000,top
"D6","BAT46GWJ","D_SOD-123",169.100000,-85.850000,-90.000000,top
"D7","B5819W","D_SOD-123",122.600000,-97.900000,90.000000,top
"D8","BAT46GWJ","D_SOD-123",162.800000,-86.200000,0.000000,top
"D9","B5819W","D_SOD-123",131.200000,-99.100000,90.000000,top
"D11","SMF3.3","D_SOD-123F",147.163500,-115.400000,180.000000,top
"D12","SMF5.0A","D_SOD-123F",137.700000,-88.600000,180.000000,top
"D13","TPSMB28CA-VR","D_SMB",183.100000,-122.100000,-90.000000,top
"D14","TPSMB28CA-VR","D_SMB",169.100000,-122.100000,-90.000000,top
"D16","BAT46GWJ","D_SOD-123",169.100000,-128.200000,-90.000000,top
"D18","BAT46GWJ","D_SOD-123",162.900000,-129.000000,0.000000,top
"D21","B5819W","D_SOD-123",178.250000,-119.700000,180.000000,top
"FB1","FerriteBead","C_2220_5750Metric",110.500000,-127.900000,0.000000,top
"FB3","FerriteBead","C_2220_5750Metric",111.000000,-82.000000,0.000000,top
"J1","Conn_01x02_Socket","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",163.150000,-115.150000,180.000000,top
"J2","Conn_01x02_Pin","AMASS_XT30PW-M_1x02_P2.50mm_Horizontal",93.400000,-123.200000,90.000000,top
"J3","Conn_01x02_Pin","AMASS_XT30PW-M_1x02_P2.50mm_Horizontal",93.275000,-79.800000,90.000000,top
"J4","Conn_01x02_Pin","AMASS_XT30PW-M_1x02_P2.50mm_Horizontal",176.100000,-99.300000,-90.000000,top
"J5","Conn_01x02_Pin","AMASS_XT30PW-M_1x02_P2.50mm_Horizontal",176.100000,-113.700000,-90.000000,top
"J6","Conn_01x02_Pin","AMASS_XT30PW-F_1x02_P2.50mm_Horizontal",88.312800,-113.728400,90.000000,top
"J7","Conn_01x02_Pin","AMASS_XT30PW-F_1x02_P2.50mm_Horizontal",88.300000,-99.300000,90.000000,top
"J8","Conn_01x02_Socket","AMASS_XT60PW-F_1x02_P7.20mm_Horizontal",166.400000,-99.800000,90.000000,top
"J9","Conn_01x04_Pin","JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical",119.000000,-103.400000,90.000000,top
"J11","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",132.340000,-129.400000,-90.000000,top
"J12","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",110.400000,-101.600000,0.000000,top
"L1","1.8uH","XAL6030182MEC",123.700000,-123.300000,90.000000,top
"L3","1.8uH","XAL6030182MEC",123.500000,-90.000000,90.000000,top
"L4","1.5uH","Untitled",142.700000,-86.200000,0.000000,top
"Q1","NVTFS5C453NLWFTAG","NVTFS6H854NTAG",116.865000,-125.225000,-90.000000,top
"Q2","NVTFS5C453NLWFTAG","NVTFS6H854NTAG",116.765000,-93.275000,-90.000000,top
"Q8","PSMN020-100YS","LFPAK56_1",161.700000,-82.060000,180.000000,top
"Q17","PSMN020-100YS","LFPAK56_1",161.700000,-124.460000,180.000000,top
"R4","3mOhm","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",116.800000,-118.800000,-90.000000,top
"R7","100","R_0603_1608Metric",152.900000,-123.500000,180.000000,top
"R8","100","R_0603_1608Metric",151.500000,-125.800000,0.000000,top
"R15","27","R_0603_1608Metric",141.400000,-124.800000,90.000000,top
"R16","27","R_0603_1608Metric",143.650000,-124.750000,90.000000,top
"R21","3mOhm","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",116.800000,-86.917000,-90.000000,top
"R37","10k","R_0603_1608Metric",147.550000,-132.100000,180.000000,top
"R38","10k","R_0603_1608Metric",144.450000,-132.050000,0.000000,top
"R40","10","R_1206_3216Metric",162.900000,-77.500000,180.000000,top
"R41","10k","R_0603_1608Metric",150.950000,-128.600000,90.000000,top
"R45","18.22K","R_0603_1608Metric",146.000000,-79.100000,90.000000,top
"R46","1M","R_0603_1608Metric",138.300000,-84.800000,180.000000,top
"R47","243k","R_0603_1608Metric",135.900000,-85.600000,90.000000,top
"R61","5.1K","R0402",131.200000,-102.150000,0.000000,top
"R62","10","R_1206_3216Metric",162.900000,-119.900000,180.000000,top
"R63","5.1K","R0402",124.750000,-103.400000,90.000000,top
"TP1","TestPoint","TestPoint_Keystone_5015_Micro_Mini",130.450000,-120.300000,0.000000,top
"TP2","TestPoint","TestPoint_Keystone_5015_Micro_Mini",130.150000,-87.200000,0.000000,top
"U6","LT8342RV-TRMPBF","05-08-7040_ADI",123.005000,-114.750000,90.000000,top
"U8","LT8342RV-TRMPBF","05-08-7040_ADI",123.005000,-81.450000,90.000000,top
"U10","TPS16851VMAR","VMA0023A-MFG",176.024999,-84.200000,-90.000000,top
"U12","TLV75533PDBV","SOT-23-5",147.101000,-118.400000,0.000000,top
"U13","LT8640SEV_PBF","CONV_LT8640SEV_PBF",142.400000,-81.300000,0.000000,top
"U14","TPS16851VMAR","VMA0023A-MFG",176.025000,-126.650000,-90.000000,top
"U16","TPS26400RHFR","RHF0024A-MFG",96.882821,-93.575889,90.000000,top
"U17","TPS26400RHFR","RHF0024A-MFG",96.899109,-108.000000,90.000000,top
"U18","PINA745AIRELR","REL0014A_PINA745AIRELR_TEX",99.000000,-81.997800,90.000000,top
"U19","PINA745AIRELR","REL0014A_PINA745AIRELR_TEX",99.100000,-128.188900,90.000000,top
"USB2","TYPEC-303-ACP16","USB-C-SMD_TYPEC-303-ACP16",127.040000,-103.150000,-90.000000,top
